a,b,n_nodes,steps,success
9,9,81,53,1
9,9,81,65,1
9,9,81,68,1
9,9,81,37,1
9,9,81,52,1
9,9,81,102,1
9,9,81,72,1
9,9,81,56,1
9,9,81,52,1
9,9,81,53,1
9,9,81,59,1
9,9,81,56,1
9,9,81,57,1
9,9,81,58,1
9,9,81,51,1
9,9,81,48,1
9,9,81,47,1
9,9,81,41,1
9,9,81,38,1
9,9,81,59,1
9,9,81,41,1
9,9,81,62,1
9,9,81,54,1
9,9,81,38,1
9,9,81,55,1
9,9,81,54,1
9,9,81,78,1
9,9,81,34,1
9,9,81,63,1
9,9,81,52,1
9,9,81,47,1
9,9,81,45,1
9,9,81,63,1
9,9,81,33,1
9,9,81,50,1
9,9,81,59,1
9,9,81,38,1
9,9,81,57,1
9,9,81,77,1
9,9,81,66,1
9,9,81,49,1
9,9,81,40,1
9,9,81,39,1
9,9,81,47,1
9,9,81,64,1
9,9,81,50,1
9,9,81,49,1
9,9,81,52,1
9,9,81,48,1
9,9,81,68,1
9,9,81,47,1
9,9,81,39,1
9,9,81,74,1
9,9,81,37,1
9,9,81,42,1
9,9,81,45,1
9,9,81,48,1
9,9,81,44,1
9,9,81,40,1
9,9,81,72,1
9,9,81,45,1
9,9,81,56,1
9,9,81,64,1
9,9,81,38,1
9,9,81,66,1
9,9,81,52,1
9,9,81,32,1
9,9,81,56,1
9,9,81,51,1
9,9,81,57,1
9,9,81,38,1
9,9,81,58,1
9,9,81,59,1
9,9,81,41,1
9,9,81,50,1
9,9,81,51,1
9,9,81,52,1
9,9,81,48,1
9,9,81,32,1
9,9,81,65,1
9,9,81,70,1
9,9,81,41,1
9,9,81,45,1
9,9,81,45,1
9,9,81,58,1
9,9,81,50,1
9,9,81,40,1
9,9,81,64,1
9,9,81,42,1
9,9,81,41,1
9,9,81,60,1
9,9,81,36,1
9,9,81,65,1
9,9,81,46,1
10,10,100,68,1
10,10,100,74,1
10,10,100,70,1
10,10,100,46,1
10,10,100,48,1
10,10,100,70,1
10,10,100,68,1
10,10,100,55,1
10,10,100,65,1
10,10,100,59,1
10,10,100,65,1
10,10,100,115,1
10,10,100,47,1
10,10,100,74,1
10,10,100,67,1
10,10,100,60,1
10,10,100,110,1
10,10,100,41,1
10,10,100,92,1
10,10,100,78,1
10,10,100,56,1
10,10,100,60,1
10,10,100,51,1
10,10,100,65,1
10,10,100,61,1
10,10,100,60,1
10,10,100,51,1
10,10,100,61,1
10,10,100,71,1
10,10,100,61,1
10,10,100,88,1
10,10,100,67,1
10,10,100,63,1
10,10,100,34,1
10,10,100,61,1
10,10,100,65,1
10,10,100,60,1
10,10,100,52,1
10,10,100,47,1
10,10,100,51,1
10,10,100,49,1
10,10,100,70,1
10,10,100,54,1
10,10,100,81,1
10,10,100,45,1
10,10,100,80,1
10,10,100,81,1
10,10,100,62,1
10,10,100,78,1
10,10,100,45,1
10,10,100,60,1
10,10,100,41,1
10,10,100,43,1
10,10,100,55,1
10,10,100,53,1
10,10,100,44,1
10,10,100,78,1
10,10,100,52,1
10,10,100,43,1
10,10,100,70,1
10,10,100,95,1
10,10,100,51,1
10,10,100,50,1
10,10,100,71,1
10,10,100,51,1
10,10,100,86,1
10,10,100,61,1
10,10,100,62,1
10,10,100,60,1
10,10,100,57,1
10,10,100,41,1
10,10,100,73,1
10,10,100,84,1
10,10,100,70,1
10,10,100,59,1
10,10,100,74,1
10,10,100,76,1
10,10,100,55,1
10,10,100,88,1
10,10,100,99,1
10,10,100,44,1
10,10,100,67,1
10,10,100,79,1
10,10,100,85,1
10,10,100,87,1
10,10,100,83,1
10,10,100,56,1
10,10,100,50,1
10,10,100,58,1
10,10,100,61,1
10,10,100,58,1
10,10,100,53,1
10,10,100,58,1
10,10,100,54,1
10,10,100,81,1
10,10,100,54,1
10,10,100,59,1
10,10,100,63,1
